rank,category,racename,race_id,rider_name,rider_id,points,jpp,date,ploegleider
4,CC2,African Cycling Championships (Accra) R.R.,41029,SAIDI Nassim,21188,0.0,0,2023-02-13,-
5,CC2,African Cycling Championships (Accra) R.R.,41029,BDADOU Youssef,29667,0.0,0,2023-02-13,-
6,CC2,African Cycling Championships (Accra) R.R.,41029,ROUGIER-LAGANE Christopher,24393,0.0,0,2023-02-13,-
7,CC2,African Cycling Championships (Accra) R.R.,41029,KAGIMU Charles,24714,0.0,0,2023-02-13,-
8,CC2,African Cycling Championships (Accra) R.R.,41029,UHIRIWE Byiza Renus,31098,0.0,0,2023-02-13,-
9,CC2,African Cycling Championships (Accra) R.R.,41029,DAUMONT Paul,28198,0.0,0,2023-02-13,-
10,CC2,African Cycling Championships (Accra) R.R.,41029,AREFAYNE Aklilu,34890,0.0,0,2023-02-13,-
1,1.PS,Clasica de Almeria,40940,MOSCHETTI Matteo,27126,4,50,2023-02-12,-
2,1.PS,Clasica de Almeria,40940,DE LIE Arnaud,32221,1,35,2023-02-12,Wijnand
3,1.PS,Clasica de Almeria,40940,MEEUS Jordi,26421,0.5,25,2023-02-12,Vel
4,1.PS,Clasica de Almeria,40940,KRISTOFF Alexander,4179,0,20,2023-02-12,Nicky
5,1.PS,Clasica de Almeria,40940,NIZZOLO Giacomo,13863,0,18,2023-02-12,PB
6,1.PS,Clasica de Almeria,40940,WALSCHEID Maximilian,19646,0,16,2023-02-12,PB
7,1.PS,Clasica de Almeria,40940,GAVIRIA RENDON Fernando,20777,0,14,2023-02-12,Albert
8,1.PS,Clasica de Almeria,40940,TESSON Jason,29883,0,12,2023-02-12,Jan
9,1.PS,Clasica de Almeria,40940,PENHOËT Paul,30686,0,10,2023-02-12,-
10,1.PS,Clasica de Almeria,40940,MOLANO BENAVIDES Juan Sebastian,23463,0,8,2023-02-12,PB
1,2.PSs,"Tour of Oman, Stage 2 : Muscat - Qurayyat",40978,HERRADA LOPEZ Jesus,17534,0.3,0,2023-02-12,Paul
1,2.1,"Tour of Antalya, General classification",40976,no result,13543,2,0,2023-02-12,-
1,1.1,Figueira Champions Classic,41033,PEDERSEN Casper Phillip,23429,2,0,2023-02-12,-
2,1.1,Figueira Champions Classic,41033,HERREGODTS Rune,28392,0.3,0,2023-02-12,-
