rank,category,racename,race_id,rider_name,rider_id,points,jpp,date,ploegleider
1,NC5,National Championships Iceland (Saudarkrokur) R.R.,43137,JONSSON Kristinn,30495,0.0,0,2024-06-30,-
1,NCT5,National Championships Nicaragua (San Benito) I.T.T. (prov.),43587,VANEGAS CALERO Argenis de la Conception,27121,0.0,0,2024-06-30,-
-4,GT1s,"Leiderstrui na Tour de France, Stage 1 : Florence - Rimini (prov.)",43273,Bardet Romain,13566,1,0,2024-06-29,Nicky
-1,GT1s,"Jongerentrui na Tour de France, Stage 1 : Florence - Rimini (prov.)",43273,van den Broek Frank,33648,0.1,0,2024-06-29,-
-2,GT1s,"Puntentrui na Tour de France, Stage 1 : Florence - Rimini (prov.)",43273,van den Broek Frank,33648,0.2,0,2024-06-29,-
-3,GT1s,"Bergtrui na Tour de France, Stage 1 : Florence - Rimini (prov.)",43273,Abrahamsen Jonas,22233,0.2,0,2024-06-29,-
1,GT1s,"Tour de France, Stage 1 : Florence - Rimini (prov.)",43273,BARDET Romain,13566,3,0,2024-06-29,Nicky
1,2.1s,"Tour de Slovaquie, Stage 4 : Partizanske - Ruzomberok",43264,ADAMIETZ Johannes,26533,0.2,0,2024-06-29,-
1,NCT5,National Championships Greece (Mouries) I.T.T.,43086,TZORTZAKIS Polychronis,13800,0.0,0,2024-06-29,-
1,NC5,National Championships Cyprus (Agrokipia) R.R.,43116,MILTIADIS Andreas,22735,0.0,0,2024-06-29,-
1,NCT5,National Championships Trinidad and Tobago () I.T.T. (prov.),43298,TREPTE Liam,35171,0.0,0,2024-06-29,-
1,NCT5,National Championships Saint Lucia (Castries) I.T.T.,43584,WILLIAMS Stanislas Winston,7902,0.0,0,2024-06-29,-
1,NCT5,National Championships Montenegro (Danilovgrad) I.T.T.,43583,RADUNOVIC Aleksandar,30657,0.0,0,2024-06-29,-
1,NCT5,National Championships Honduras (Lamani) I.T.T.,43160,MENENDEZ PEREIRA Hector Manuel,36541,0.0,0,2024-06-29,-
1,NCT5,National Championships El Salvador (San Luis Talpa) I.T.T.,43142,RODRIGUEZ RODRIGUEZ Brandon Ulises,31710,0.0,0,2024-06-29,-
