rank,category,racename,race_id,rider_name,rider_id,points,jpp,date
1,GT2s,"Vuelta a España , Stage 4 : Plasencia - Pico Villuercas (prov.)",43480,ROGLIC Primoz,20719,0.0,0,2024-08-20
1,2.1s,"Tour Poitou-Charentes en Nouvelle Aquitaine, Stage 1 : Les Gonds - Cognac (prov.)",43511,DVERSNES Fredrik,28553,0.0,0,2024-08-20
1,2.NCs,"Tour de l'Avenir, Stage 2 : Mouchard - Plateau d'Hauteville (prov.)",43503,CRESCIOLI Ludovico,34298,0.0,0,2024-08-20
-4,GT2s,"Leiderstrui na Vuelta a España , Stage 3 : Lousa - Castelo Branco (prov.)",43479,van Aert Wout,20730,0.0,0,2024-08-19
-1,GT2s,"Jongerentrui na Vuelta a España , Stage 3 : Lousa - Castelo Branco (prov.)",43479,Vacek Mathias,31713,0.0,0,2024-08-19
-2,GT2s,"Puntentrui na Vuelta a España , Stage 3 : Lousa - Castelo Branco (prov.)",43479,van Aert Wout,20730,0.0,0,2024-08-19
-3,GT2s,"Bergtrui na Vuelta a España , Stage 3 : Lousa - Castelo Branco (prov.)",43479,Mate Luis Angel,3558,0.0,0,2024-08-19
1,GT2s,"Vuelta a España , Stage 3 : Lousa - Castelo Branco (prov.)",43479,VAN AERT Wout,20730,0.0,0,2024-08-19
1,2.NCs,"Tour de l'Avenir, Stage 1 : Sarrebourg - Ronchamp-Champagney (prov.)",43502,PEDERSEN Henrik Breiner,34364,0.0,0,2024-08-19
-4,GT2s,"Leiderstrui na Vuelta a España , Stage 2 : Cascais - Ourem (prov.)",43478,van Aert Wout,20730,0.0,0,2024-08-18
-1,GT2s,"Jongerentrui na Vuelta a España , Stage 2 : Cascais - Ourem (prov.)",43478,Vacek Mathias,31713,0.0,0,2024-08-18
-2,GT2s,"Puntentrui na Vuelta a España , Stage 2 : Cascais - Ourem (prov.)",43478,Groves Kaden,26637,0.0,0,2024-08-18
-3,GT2s,"Bergtrui na Vuelta a España , Stage 2 : Cascais - Ourem (prov.)",43478,Küng Stefan,20960,0.0,0,2024-08-18
1,GT2s,"Vuelta a España , Stage 2 : Cascais - Ourem (prov.)",43478,GROVES Kaden,26637,0.0,0,2024-08-18
1,2.WT1,"Tour de Pologne, General classification",43453,VINGEGAARD HANSEN Jonas,25740,0.0,0,2024-08-18
2,2.WT1,"Tour de Pologne, General classification",43453,ULISSI Diego,10023,0.0,0,2024-08-18
3,2.WT1,"Tour de Pologne, General classification",43453,KELDERMAN Wilco,15171,0.0,0,2024-08-18
4,2.WT1,"Tour de Pologne, General classification",43453,GREGOIRE Romain,32766,0.0,0,2024-08-18
5,2.WT1,"Tour de Pologne, General classification",43453,SHEFFIELD Magnus,31598,0.0,0,2024-08-18
6,2.WT1,"Tour de Pologne, General classification",43453,MOHORIC Matej,21145,0.0,0,2024-08-18
7,2.WT1,"Tour de Pologne, General classification",43453,ZAMBANINI Edoardo,31437,0.0,0,2024-08-18
8,2.WT1,"Tour de Pologne, General classification",43453,VOISARD Yannis,27977,0.0,0,2024-08-18
9,2.WT1,"Tour de Pologne, General classification",43453,HONORE Mikkel Frølich,25629,0.0,0,2024-08-18
10,2.WT1,"Tour de Pologne, General classification",43453,ONLEY Oscar,31724,0.0,0,2024-08-18
1,2.WT1s,"Tour de Pologne, Stage 7 : Kopalnia Soli - Krakow",43452,KOOIJ Olav,30643,0.0,0,2024-08-18
1,2.WT2r,"Tour de Pologne, Points classification",43454,ULISSI Diego,10023,0.0,0,2024-08-18
1,2.WT2r,"Tour de Pologne, Mountains classification",43455,PALUTA Michal,23378,0.0,0,2024-08-18
1,2.PS,"Danmark Rundt - Tour of Denmark, General classification",43472,DE LIE Arnaud,32221,0.0,0,2024-08-18
2,2.PS,"Danmark Rundt - Tour of Denmark, General classification",43472,CORT NIELSEN Magnus,19448,0.0,0,2024-08-18
3,2.PS,"Danmark Rundt - Tour of Denmark, General classification",43472,FOLDAGER Anders,31400,0.0,0,2024-08-18
4,2.PS,"Danmark Rundt - Tour of Denmark, General classification",43472,KRAGH ANDERSEN Søren,20793,0.0,0,2024-08-18
5,2.PS,"Danmark Rundt - Tour of Denmark, General classification",43472,BERCKMOES Jenno,32588,0.0,0,2024-08-18
6,2.PS,"Danmark Rundt - Tour of Denmark, General classification",43472,GOGL Michael,19858,0.0,0,2024-08-18
7,2.PS,"Danmark Rundt - Tour of Denmark, General classification",43472,VAN DEN BROEK Frank,33648,0.0,0,2024-08-18
8,2.PS,"Danmark Rundt - Tour of Denmark, General classification",43472,TRENTIN Matteo,13270,0.0,0,2024-08-18
9,2.PS,"Danmark Rundt - Tour of Denmark, General classification",43472,FLYNN Sean,29931,0.0,0,2024-08-18
10,2.PS,"Danmark Rundt - Tour of Denmark, General classification",43472,LEKNESSUND Andreas,27653,0.0,0,2024-08-18
1,2.PSs,"Danmark Rundt - Tour of Denmark, Stage 5 : Roskilde - Gladsaxe",43471,LUND ANDRESEN Tobias,31657,0.0,0,2024-08-18
1,2.NCs,"Tour de l'Avenir, Prologue : Sarrebourg I.T.T. (prov.)",43501,LEONARD Michael,34283,0.0,0,2024-08-18
1,NC5,National Championships Rwanda (Shyorongi - Batsinda) R.R.,43655,MASENGESHO Vainqueur,34983,0.0,0,2024-08-18
-4,GT2s,"Leiderstrui na Vuelta a España , Stage 1 : Lisboa - Oeiras I.T.T. (prov.)",43477,McNulty Brandon,26508,0.0,0,2024-08-17
-1,GT2s,"Jongerentrui na Vuelta a España , Stage 1 : Lisboa - Oeiras I.T.T. (prov.)",43477,Vacek Mathias,31713,0.0,0,2024-08-17
-2,GT2s,"Puntentrui na Vuelta a España , Stage 1 : Lisboa - Oeiras I.T.T. (prov.)",43477,McNulty Brandon,26508,0.0,0,2024-08-17
1,GT2s,"Vuelta a España , Stage 1 : Lisboa - Oeiras I.T.T. (prov.)",43477,MCNULTY Brandon,26508,0.0,0,2024-08-17
1,2.WT1s,"Tour de Pologne, Stage 6 : Wadowice - Bukovina Resort",43451,NYS Thibau,32185,0.0,0,2024-08-17
1,2.PSs,"Danmark Rundt - Tour of Denmark, Stage 4 : Stevns - Holbaek",43470,KRIJNSEN Jelte,32717,0.0,0,2024-08-17
1,NCT5,National Championships Rwanda (Batsinda) I.T.T.,43656,MUGISHA Moise,28740,0.0,0,2024-08-17
1,2.WT1s,"Tour de Pologne, Stage 5 : Katowice - Katowice",43450,MERLIER Tim,17988,0.0,0,2024-08-16
1,2.PSs,"Danmark Rundt - Tour of Denmark, Stage 3 : Kolding - Haderslev",43469,LUND ANDRESEN Tobias,31657,0.0,0,2024-08-16
1,2.1,"Tour du Limousin, General classification",43460,BAUDIN Alex,32146,0.0,0,2024-08-16
2,2.1,"Tour du Limousin, General classification",43460,AULAR SANABRIA Orluis Alberto,24326,0.0,0,2024-08-16
3,2.1,"Tour du Limousin, General classification",43460,ZINGLE Axel,31263,0.0,0,2024-08-16
1,2.1s,"Tour du Limousin, Stage 4 : Oradour sur Glane - Limoges",43459,BURGAUDEAU Mathieu,27151,0.0,0,2024-08-16
1,2.WT1s,"Tour de Pologne, Stage 4 : Kudowa Zdroj - Prudnik (prov.)",43449,KOOIJ Olav,30643,0.0,0,2024-08-15
