rank,category,racename,race_id,rider_name,rider_id,points,jpp,date,ploegleider
6,1.PS,Scheldeprijs,42655,WAERENSKJOLD Søren,29187,0,16,2024-04-03,Albert
7,1.PS,Scheldeprijs,42655,WELSFORD Sam,23517,0,14,2024-04-03,Albert
8,1.PS,Scheldeprijs,42655,MOSCHETTI Matteo,27126,0,12,2024-04-03,Kees
9,1.PS,Scheldeprijs,42655,MIHKELS Madis,32946,0,10,2024-04-03,Jan
10,1.PS,Scheldeprijs,42655,TRENTIN Matteo,13270,0,8,2024-04-03,Jan
1,2.1s,"Région Pays de la Loire Tour, Stage 2 : Châteaubriant - Saumur",42700,COSTIOU Ewen,32834,0.2,0,2024-04-03,Kees
1,2.1s,"Tour of Thailand, Stage 3 : Sukhothai - Baan Rak Thai (prov.)",42685,CHAWCHIANGKWANG Peerapol,11810,0.2,0,2024-04-03,-
1,2.WT1s,"Itzulia Basque Country, Stage 2 : Irun - Kanbo (prov.)",42691,LAPEIRA Paul,30615,1,0,2024-04-02,-
1,2.1s,"Région Pays de la Loire Tour, Stage 1 : Fontenay-le-Comte - Saint-Jean-de-Monts",42699,VAN DEN BERG Marijn,27674,0.2,0,2024-04-02,Roy
1,2.1s,"Tour of Thailand, Stage 2 : Sukhothai - Sukhothai (prov.)",42684,ROSLI Muhammad Nur Aiman,29594,0.2,0,2024-04-02,-
1,2.WT1s,"Itzulia Basque Country, Stage 1 : Irun - Irun I.T.T. (prov.)",42690,ROGLIC Primoz,20719,1,0,2024-04-01,Frank
1,2.1s,"Tour of Thailand, Stage 1 : Phitsanulok - Sukhothai (prov.)",42683,CARSTENSEN Lucas,22704,0.2,0,2024-04-01,-
1,1.WT1,Ronde van Vlaanderen,42578,VAN DER POEL Mathieu,21971,15,50,2024-03-31,Harry
2,1.WT1,Ronde van Vlaanderen,42578,MOZZATO Luca,28037,3,35,2024-03-31,Nicky
3,1.WT1,Ronde van Vlaanderen,42578,POLITT Nils,20847,2,25,2024-03-31,Kees
4,1.WT1,Ronde van Vlaanderen,42578,BJERG Mikkel Norsgaard,26388,1,20,2024-03-31,Kees
5,1.WT1,Ronde van Vlaanderen,42578,MORGADO Antonio Tomas,34222,0.5,18,2024-03-31,-
6,1.WT1,Ronde van Vlaanderen,42578,SHEFFIELD Magnus,31598,0,16,2024-03-31,Jan
